phecode	cases	controls	p_value	neg_log_p_value	standard_error	beta	conf_int_1	conf_int_2	odds_ratio	log10_odds_ratio	converged	phecode_sex_restriction	phecode_string	phecode_category
MB_309.8	102	5906	0.002187270656573185	2.6600974733028577	0.203	0.6208524197013261	0.224	1.018	1.8605133042910391	0.2696327799525677	True	Both	Homicidal ideations	Mental
NS_352	65	5946	0.04333799521040461	1.3631311827530874	0.254	0.5136633554556296	0.015	1.012	1.6714029364358176	0.22308116083028853	True	Both	Disturbances of sensation of smell and taste	Neurological
EM_239.2	709	5148	3.151742361735421e-8	7.501449291007911	0.089	0.49309339330442287	0.318	0.668	1.637373433964126	0.2141477397750607	True	Both	Hyperglyceridemia	Endocrine/Metab
GI_520.2	308	5471	0.0002002582418932211	3.698409600911202	0.123	0.45710380270323864	0.216	0.698	1.5794928313658585	0.19851765917100925	True	Both	Diaphragmatic hernia	Gastrointestinal
EM_256.3	458	5283	0.2110477884002404	0.6756191945193066	0.109	-0.1361004823057848	-0.349	0.077	0.8727549316546844	-0.05910768844977348	True	Both	Mixed disorder of acid-base balance	Endocrine/Metab
CV_430	73	5948	0.02965252032412125	1.5279383877519677	0.243	0.5287160841226589	0.052	1.005	1.6967524221478638	0.22961847782796627	True	Both	Nontraumatic Intracranial hemorrhage	Cardiovascular
MS_741.3	181	5690	6.765544865975597e-10	9.169697221570766	0.152	0.9393531737086089	0.641	1.238	2.558326090454932	0.4079558998999556	True	Both	Sprains and strains of wrist and hand	Muscloskeletal
SO_360	233	5629	0.00016408670167714938	3.784926614694975	0.14	0.5270893823296582	0.253	0.801	1.6939945556618023	0.22891201021556393	True	Both	Inflammation of eyelids	Sense organs
ID_086.2	57	5928	0.012119590883395906	1.9165120402425435	0.268	0.6730405076938589	0.147	1.199	1.9601882365632617	0.292297778588806	True	Both	Scabies	Infections
MB_282.2	1303	4138	1.8253486568383233e-6	5.738654169410891	0.069	0.3291813515307698	0.194	0.464	1.3898298805107072	0.14296164451526785	True	Both	Personal history of nicotine dependence	Mental
MS_745.4	294	5613	1.1511137019276053e-7	6.938881776560577	0.122	0.6483718654654025	0.409	0.888	1.9124246083393746	0.28158432339294187	True	Both	Fracture of foot and toe	Muscloskeletal
GU_594	1589	3828	5.158426834153188e-35	34.287482725003834	0.066	0.8133157969106113	0.684	0.942	2.2553739640259516	0.3532185626430243	True	Both	Abnormality of urination	Genitourinary
SS_830	153	5815	0.8113891027818314	0.09077082930792969	0.181	0.0432442909794236	-0.312	0.398	1.0441929506140457	0.018780756946182225	True	Both	Proteinuria	Symptoms
CV_406.1	117	5882	0.45065702539056407	0.3461538542334221	0.215	-0.16241093997286649	-0.584	0.26	0.850091796052589	-0.07053417503093617	True	Both	Pulmonary hypertension	Cardiovascular
GI_545	135	5778	1.0680482205613179e-7	6.97140913920733	0.176	0.9347337550985269	0.59	1.279	2.546535365416238	0.4059497118879958	True	Both	Nonspecific abnormal results of function study of liver	Gastrointestinal
RE_495	744	4898	4.095558751166735e-9	8.38768683969241	0.088	0.5192581256664301	0.346	0.692	1.680780259317885	0.2255109386603559	True	Both	Abnormal findings on diagnostic imaging of lung	Respiratory
PP_916.1	101	3243	0.2466183515901571	0.6079746094199434	0.212	0.24580569576191713	-0.17	0.662	1.278651102074828	0.10675205728979012	True	Female	Infections of genitourinary tract in pregnancy	Pregnancy
NS_351.1	414	5184	2.140856576857858e-9	8.669412426570858	0.105	0.6305342436768863	0.424	0.837	1.8786139488420313	0.27383754267991206	True	Both	Anesthesia of skin*	Neurological
EM_236.1	2160	3593	1.6624857407249198e-17	16.77924207098789	0.06	0.5130133404826968	0.395	0.631	1.6703168525249734	0.2227988629143893	True	Both	Obesity	Endocrine/Metab
EM_237	222	5649	1.664304716809146e-13	12.778767155982031	0.139	1.0248622121310904	0.752	1.297	2.7867114590778725	0.44509200343969246	True	Both	Abnormal weight gain	Endocrine/Metab
CV_416.2	257	5726	0.31062625588516757	0.5077618380339952	0.157	-0.15881765473064124	-0.466	0.148	0.8531519130018097	-0.06897363107833339	True	Both	Atrial fibrillation and flutter	Cardiovascular
NS_349	127	5789	0.0010619128342985336	2.973911130275998	0.183	0.5992878437212072	0.24	0.958	1.820821628995305	0.26026740359981865	True	Both	Disorder of nervous system	Neurological
SS_800.11	147	5584	0.042574254081604396	1.3708529523161774	0.175	0.3540832418859701	0.012	0.696	1.4248737907250086	0.15377639808549115	True	Both	Pleurodynia*	Symptoms
MB_296.4	265	5705	1.548178238155689e-14	13.81017904146229	0.128	0.981697288554343	0.731	1.232	2.668982433052002	0.4263457153185355	True	Both	Borderline personality disorder	Mental
MS_740	159	5785	0.00010595761278522293	3.9748678348772954	0.163	0.6319561965090019	0.312	0.951	1.8812871493991676	0.2744550889484266	True	Both	Dislocation	Muscloskeletal
CA_148	74	5963	7.059957306069801e-6	5.151197925264678	0.238	1.0697537684904448	0.603	1.537	2.9146617300542035	0.46458815865060893	True	Both	Benign neoplasm of the eye, brain and other parts of central nervous system	Neoplasms
GI_504.1	62	5896	0.0026699032307601718	2.573504479125491	0.258	0.7734539671071735	0.269	1.278	2.1672389131154386	0.3359067899208247	True	Both	Gingivitis	Gastrointestinal
DE_683	321	5521	1.0656973548307966e-10	9.972366112184185	0.119	0.7660654178182368	0.534	0.999	2.151285171664551	0.3326979837353693	True	Both	Nail disorders	Dermatological
DE_669	105	5921	0.08080206519066704	1.092577539108472	0.203	0.3541957639970812	-0.043	0.752	1.4250341295526705	0.15382526581743886	True	Both	Neutrophilic and Eosinophilic dermatoses	Dermatological
NS_331.6	1125	4608	3.5984147109581184e-30	29.443888786431877	0.071	0.8096287927410518	0.671	0.949	2.247073701770256	0.3516173170774303	True	Both	Migraine	Neurological
GU_615	129	3235	0.0003894480275129222	3.4095504914455237	0.181	0.6421226522095237	0.287	0.997	1.900510724100117	0.27887032455967703	True	Female	Endometriosis	Genitourinary
CA_138	561	5178	1.1227319620251083e-13	12.94972391364747	0.094	0.6985294872449345	0.514	0.883	2.010793634638991	0.30336750175718297	True	Both	Benign neoplasm of the skin	Neoplasms
SO_380	93	5929	0.03740439731294909	1.4270773385350972	0.216	0.4501274770580494	0.026	0.874	1.5685121220570701	0.19548787943934345	True	Both	Disorders of optic nerve and visual pathways	Sense organs
MS_711.1	74	5936	5.4555341535035696e-9	8.263162721049591	0.242	1.4142426353124407	0.939	1.889	4.113369964800054	0.6141977725885059	True	Both	Derangement of meniscus	Muscloskeletal
GU_626	1080	2064	1.2941365563286735e-19	18.888019894818047	0.081	0.731550349968183	0.573	0.89	2.078300203933806	0.3177082802255746	True	Female	Disorders of menstruation and other abnormal bleeding from female genital tract	Genitourinary
MB_293	130	5898	7.538635470113205e-7	6.1227072564418235	0.179	0.8863821189661758	0.535	1.238	2.4263355594907345	0.3849508631247218	True	Both	Eating disorders	Mental
SO_396	566	5261	8.133174981861007e-19	18.089739883935046	0.097	0.8601481907997932	0.67	1.05	2.3635109183284277	0.3735576128834156	True	Both	Hearing impairment	Sense organs
EM_232.27	66	5959	0.17446302211803844	0.7582966087728349	0.259	0.3523390401094728	-0.156	0.861	1.4223906894722655	0.15301890087863254	True	Both	Vitamin B12 deficiency	Endocrine/Metab
NS_341	115	5888	0.3679751095951159	0.43418155668267766	0.201	0.181308726445627	-0.213	0.576	1.1987852188694508	0.078741379416242	True	Both	Cerebral palsy and other paralytic syndromes	Neurological
SO_392	334	5337	3.342837718759837e-7	6.4758847061348614	0.116	0.5903070053536734	0.364	0.817	1.8045423345230667	0.2563670750539337	True	Both	Otalgia and effusion of ear	Sense organs
RE_463.4	209	5450	0.000015627511536562364	4.80611017181959	0.144	0.6202839751293907	0.339	0.902	1.8594560061383694	0.2693859076117083	True	Both	Nasal congestion*	Respiratory
EM_247.42	238	5636	0.48025918029559955	0.31852432472006365	0.143	0.10072263600866782	-0.179	0.38	1.105969843007977	0.04374328502131419	True	Both	Hypomagnesemia*	Endocrine/Metab
CV_404.2	560	5316	0.2360765512201164	0.62694714795495	0.114	-0.135048849933539	-0.358	0.088	0.8736732317662806	-0.058650970313516335	True	Both	Coronary atherosclerosis [Atherosclerotic heart disease]	Cardiovascular
SO_394.21	91	5904	0.005740347504197873	2.2410618158620657	0.219	0.6050613442048571	0.176	1.034	1.8313645490420938	0.26277480300113354	True	Both	Paroxysmal vertigo	Sense organs
EM_209.1	51	5982	0.0002534877976320293	3.5960429418479047	0.284	1.038231843475307	0.482	1.594	2.824218935822599	0.4508983605575665	True	Both	Pituitary hyperfunction	Endocrine/Metab
NS_330	632	5263	2.4833859727683085e-9	8.604955776290625	0.087	0.5159299266600913	0.346	0.686	1.6751955867348947	0.22406552019722706	True	Both	Epilepsy, recurrent seizures, convulsions	Neurological
SS_800.1	296	5277	3.99627889494372e-6	5.398344210559043	0.123	0.568116231727173	0.327	0.81	1.764939181516344	0.24672974451878033	True	Both	Chest pain on breathing	Symptoms
ID_089.1	1290	4012	2.455144749187856e-16	15.609922897870803	0.067	0.5519852078319206	0.42	0.684	1.7366973030129138	0.23972412985362274	True	Both	Bacterial infections	Infections
DE_680.3	56	5866	0.01658923863728434	1.7801735454532608	0.274	0.6554774765237648	0.119	1.192	1.9260619472189258	0.2846702510661393	True	Both	Xerosis cutis*	Dermatological
ID_006	59	5952	0.007645588091642196	2.116589103432557	0.263	0.7017304894403722	0.186	1.217	2.0172405021918656	0.30475767934722175	True	Both	Neisseria	Infections
NS_331.2	61	5953	0.00024476591265728723	3.611249064368107	0.259	0.9495946039754771	0.442	1.457	2.584661635346118	0.4124036965516535	True	Both	Post-traumatic headache	Neurological
MB_288.41	61	5992	1.9401872352153645e-6	5.712156357030024	0.264	1.2583307275510007	0.74	1.777	3.519541507415045	0.5464860913847038	True	Both	Agoraphobia	Mental
SO_389.1	89	5800	1.3022060233826596e-6	5.885320300145779	0.216	1.043552298857083	0.621	1.466	2.8392851105741372	0.4532090049710842	True	Both	Ocular pain	Sense organs
MS_734.9	85	5834	4.2884396311532475e-6	5.36770069915554	0.22	1.0122496428243415	0.581	1.444	2.7517845894479107	0.4396144341871491	True	Both	Jaw pain	Muscloskeletal
EM_256.72	66	5853	0.268368658864374	0.5712682041402186	0.258	0.28610392224646053	-0.221	0.793	1.3312307925585256	0.12425335468251485	True	Both	Hypovolemia	Endocrine/Metab
ID_089	3306	1960	1.0811987390940934e-33	32.96609446945204	0.066	0.80361584705149	0.673	0.934	2.23360271039835	0.34900592794446966	True	Both	Infections	Infections
GI_540.11	171	5841	1.4265226732567919e-11	10.845721321243458	0.158	1.0649736603856803	0.756	1.374	2.9007625780858466	0.4625121840778087	True	Both	Autoimmune hepatitis	Gastrointestinal
MS_741.14	62	5965	0.08851417815026517	1.0529871586892297	0.272	0.4636470428651894	-0.07	0.997	1.5898617183600454	0.20135935226711224	True	Both	Rotator cuff (capsule) sprain	Muscloskeletal
ID_092.8	187	5785	0.04250004624199616	1.371610597417151	0.155	0.3142943649104114	0.011	0.618	1.3692927489654845	0.13649630837387866	True	Both	Bacteremia	Infections
CA_101.4	64	5979	0.7738003182749628	0.11137109598330366	0.277	0.07965507607256754	-0.464	0.623	1.0829134804783247	0.034593759993899804	True	Both	Malignant neoplasm of the lower GI tract	Neoplasms
GU_593.2	128	5842	0.01348870403814437	1.8700297742806098	0.187	0.4630368909499998	0.096	0.83	1.5888919570686415	0.20109436665722263	True	Both	Microscopic hematuria	Genitourinary
GI_513.2	101	5874	0.13500875109877056	0.8696380801662502	0.211	0.3158073033202271	-0.098	0.73	1.3713659724939664	0.13715336917672113	True	Both	Gastric ulcer	Gastrointestinal
GU_612.2	89	3319	0.004770658309336596	2.3214216879650227	0.217	0.6113165653046181	0.187	1.036	1.8428560426575762	0.2654914110078445	True	Female	Breast conditions, congenital or relating to hormones	Genitourinary
MS_745.9	85	5903	0.00021526410374280108	3.6670283846965486	0.223	0.824535217444254	0.388	1.261	2.2808204333862694	0.35809109507093734	True	Both	Pathological fracture	Muscloskeletal
DE_674.2	120	5815	0.0010091636930422078	2.9960383826045858	0.19	0.6248786134849914	0.252	0.997	1.8680191913297226	0.27138133369588663	True	Both	Hypepigmentation*	Dermatological
GU_594.41	82	5893	0.0002050349209992625	3.688172164770134	0.229	0.8494114681901401	0.401	1.298	2.338270300441695	0.3688947135003174	True	Both	Nocturia	Genitourinary
MS_713.3	2914	2483	4.35595114952278e-63	62.36091699935053	0.066	1.107991349410842	0.978	1.238	3.0282695458907956	0.4811945290456665	True	Both	Pain in joint	Muscloskeletal
SS_805	634	4781	6.105561901904959e-16	15.214274361257653	0.086	0.6985553490228613	0.529	0.868	2.010845638009874	0.30337873338462884	True	Both	Fever	Symptoms
PP_914	81	3303	0.49271952221484905	0.3074002300485766	0.238	0.16302165426467835	-0.303	0.629	1.1770621778284442	0.07079940487788956	True	Female	Anemia in pregnancy	Pregnancy
CV_444.5	131	5846	0.0054688947869475455	2.2621004316971547	0.184	0.512369789604518	0.151	0.874	1.6692422644608276	0.22251937231917227	True	Both	Venous insufficiency (chronic) (peripheral)	Cardiovascular
DE_680.1	140	5808	0.00010050283965398716	3.9978216673118045	0.177	0.6877613155884159	0.341	1.034	1.9892572255915766	0.29869094422656994	True	Both	Corns and callosities	Dermatological
RE_472	107	5905	0.0410507173817997	1.3866792489651318	0.204	0.41684915042995113	0.017	0.817	1.517173630682246	0.18103528581778627	True	Both	Diseases of vocal cords and larynx, not elsewhere classified	Respiratory
CA_136.4	655	5179	0.000017493189043737255	4.7571310105414915	0.101	0.4335304032857853	0.236	0.631	1.5426942538389206	0.18827986188430795	True	Both	Benign neoplasm of colon, rectum, anus and anal canal	Neoplasms
RE_488.9	246	5566	6.607339394575358e-6	5.179973384518218	0.133	0.5984197534987005	0.338	0.859	1.8192416774117246	0.25989039680638976	True	Both	Snoring*	Respiratory
NS_345.2	78	5902	0.9338517649572866	0.02972205607215681	0.251	-0.020827896763733336	-0.513	0.471	0.9793875058251075	-0.009045440634139972	True	Both	Metabolic encephalopathy	Neurological
NS_345.1	90	5872	0.9789770597374009	0.009227484852825643	0.23	-0.006067873840794482	-0.457	0.445	0.9939504985264943	-0.0026352441259421514	True	Both	Toxic encephalopathy	Neurological
NS_350.5	102	5873	0.0006979119017269246	3.156199395440737	0.205	0.6957195575373617	0.294	1.098	2.0051513767557094	0.3021471647906481	True	Both	Repeated falls*	Neurological
