phecode	cases	controls	p_value	neg_log_p_value	standard_error	beta	conf_int_1	conf_int_2	odds_ratio	log10_odds_ratio	converged	phecode_sex_restriction	phecode_string	phecode_category
EM_202	75	269	0.933562337290331	0.0298566773535578	0.28	-0.023306116510038024	-0.571	0.525	0.9769633733760045	-0.010121717794903801	True	Both	Diabetes mellitus	Endocrine/Metab
GI_528.2	105	200	0.7189930686761357	0.1432752963350817	0.243	0.08748652894355662	-0.389	0.564	1.091427561661634	0.0379949167610558	True	Both	Vomiting	Gastrointestinal
GI_527	196	120	0.004511100648990281	2.3457174830744343	0.244	0.6937476173799294	0.215	1.173	2.001201234236511	0.3012907620616318	True	Both	Abdominal pain	Gastrointestinal
GI_529.5	107	208	0.005331306704311088	2.2731663322643096	0.251	0.6981678912796174	0.207	1.189	2.010066671215062	0.30321046262476725	True	Both	Constipation	Gastrointestinal
MB_284.1	137	195	0.35695793121944475	0.44738296404416555	0.227	0.2092826831895806	-0.236	0.655	1.2327934392602702	0.09089031446714128	True	Both	Suicidal ideations	Mental
ID_057	52	305	0.2671023345573418	0.5733223160934142	0.308	-0.3418910924840202	-0.946	0.262	0.7104255711804515	-0.14848141487768432	True	Both	Retrovirus	Infections
EM_239	117	221	0.913633228126214	0.03922811386022672	0.266	-0.028884453141779978	-0.551	0.493	0.9715287150720746	-0.012544358612268108	True	Both	Hyperlipidemia	Endocrine/Metab
MS_713.3	238	98	0.0070093973888405445	2.154319317547014	0.253	0.6820968433197834	0.186	1.178	1.978020986927239	0.29623089517740886	True	Both	Pain in joint	Muscloskeletal
MS_715.1	63	260	0.0009071518813291543	3.0423199944161814	0.318	1.054173821886565	0.431	1.677	2.8696033707794255	0.45782187381219663	True	Both	Spondylosis	Muscloskeletal
SS_809	268	59	0.004207675668703341	2.3759577433602423	0.304	0.8701022717219634	0.274	1.466	2.3871549794908185	0.37788061530033257	True	Both	Pain	Symptoms
DE_660	211	113	0.0051089548567222	2.2916679347738063	0.242	0.6770625040718373	0.203	1.151	1.968087982276043	0.2940445094219969	True	Both	Infection of the skin	Dermatological
MB_282.1	282	62	0.723243443803959	0.14071549453814514	0.283	0.10038899056381664	-0.455	0.656	1.105600902758754	0.043598384645703175	True	Both	Current tobacco use and nicotine dependence	Mental
GU_626.1	50	99	0.004146421346491771	2.3823265683399217	0.37	1.0597286201740668	0.335	1.784	2.8855877926879945	0.4602342920565443	True	Female	Irregular menstrual cycle/bleeding	Genitourinary
NS_329	110	202	0.0003198791795708692	3.4950140265359213	0.243	0.8760253480597584	0.399	1.353	2.401336237541622	0.3804529746697286	True	Both	Symptoms and signs involving cognitive functions and awareness	Neurological
GI_540	141	202	0.0016438879909771228	2.7841277771595765	0.224	0.7057077360577576	0.266	1.145	2.025279541178851	0.30648497560632065	True	Both	Hepatitis	Gastrointestinal
MS_718	237	89	0.01842879066707569	1.7345031630906371	0.257	0.6062552941567726	0.102	1.11	1.833552412497193	0.26329332887691914	True	Both	Back pain	Muscloskeletal
MB_283	130	175	0.5360937338148158	0.27075926903948067	0.235	-0.1451429686955588	-0.605	0.315	0.8648986308419933	-0.06303479039153759	True	Both	Other mental and behavioral problems	Mental
ID_089.1	126	196	0.41285437946548487	0.38420310414641273	0.231	0.18879138789933902	-0.263	0.641	1.2077889668066644	0.0819910579955393	True	Both	Bacterial infections	Infections
